nr_images1,nr_images2,nr_images3
1,1,142
1,2,48
1,3,24
1,5,93
1,7,60
1,16,43
1,18,16
1,21,5
1,28,10
1,39,1
1,41,2
1,100,59
2,1,38
2,2,38
2,3,21
2,5,13
2,7,10
2,16,0
2,18,5
2,21,5
2,28,11
2,39,0
2,41,0
2,100,71
3,1,27
3,2,25
3,3,48
3,5,9
3,7,26
3,16,7
3,18,0
3,21,5
3,28,7
3,39,0
3,41,0
3,100,167
5,1,94
5,2,22
5,3,23
5,5,99
5,7,28
5,16,28
5,18,28
5,21,2
5,28,5
5,39,0
5,41,0
5,100,57
7,1,149
7,2,128
7,3,97
7,5,94
7,7,205
7,16,24
7,18,15
7,21,13
7,28,45
7,39,0
7,41,1
7,100,131
16,1,51
16,2,12
16,3,13
16,5,29
16,7,13
16,16,53
16,18,8
16,21,0
16,28,0
16,39,0
16,41,0
16,100,37
18,1,47
18,2,11
18,3,9
18,5,42
18,7,15
18,16,12
18,18,67
18,21,3
18,28,0
18,39,0
18,41,1
18,100,31
21,1,17
21,2,19
21,3,7
21,5,7
21,7,8
21,16,9
21,18,2
21,21,50
21,28,2
21,39,0
21,41,0
21,100,41
28,1,11
28,2,22
28,3,8
28,5,8
28,7,25
28,16,5
28,18,3
28,21,2
28,28,35
28,39,0
28,41,1
28,100,27
39,1,0
39,2,1
39,3,0
39,5,0
39,7,0
39,16,0
39,18,0
39,21,0
39,28,0
39,39,0
39,41,0
39,100,5
41,1,3
41,2,0
41,3,1
41,5,1
41,7,0
41,16,0
41,18,0
41,21,0
41,28,1
41,39,0
41,41,2
41,100,0
100,1,104
100,2,145
100,3,230
100,5,117
100,7,147
100,16,49
100,18,52
100,21,17
100,28,29
100,39,10
100,41,3
100,100,297
